"","x"
"1",2007-01-03
"2",2007-01-04
"3",2007-01-05
"4",2007-01-08
"5",2007-01-09
"6",2007-01-10
"7",2007-01-11
"8",2007-01-12
"9",2007-01-16
"10",2007-01-17
"11",2007-01-18
"12",2007-01-19
"13",2007-01-22
"14",2007-01-23
"15",2007-01-24
"16",2007-01-25
"17",2007-01-26
"18",2007-01-29
"19",2007-01-30
"20",2007-01-31
"21",2007-02-01
"22",2007-02-02
"23",2007-02-05
"24",2007-02-06
"25",2007-02-07
"26",2007-02-08
"27",2007-02-09
"28",2007-02-12
"29",2007-02-13
"30",2007-02-14
"31",2007-02-15
"32",2007-02-16
"33",2007-02-20
"34",2007-02-21
"35",2007-02-22
"36",2007-02-23
"37",2007-02-26
"38",2007-02-27
"39",2007-02-28
"40",2007-03-01
"41",2007-03-02
"42",2007-03-05
"43",2007-03-06
"44",2007-03-07
"45",2007-03-08
"46",2007-03-09
"47",2007-03-12
"48",2007-03-13
"49",2007-03-14
"50",2007-03-15
"51",2007-03-16
"52",2007-03-19
"53",2007-03-20
"54",2007-03-21
"55",2007-03-22
"56",2007-03-23
"57",2007-03-26
"58",2007-03-27
"59",2007-03-28
"60",2007-03-29
"61",2007-03-30
"62",2007-04-02
"63",2007-04-03
"64",2007-04-04
"65",2007-04-05
"66",2007-04-09
"67",2007-04-10
"68",2007-04-11
"69",2007-04-12
"70",2007-04-13
"71",2007-04-16
"72",2007-04-17
"73",2007-04-18
"74",2007-04-19
"75",2007-04-20
"76",2007-04-23
"77",2007-04-24
"78",2007-04-25
"79",2007-04-26
"80",2007-04-27
"81",2007-04-30
"82",2007-05-01
"83",2007-05-02
"84",2007-05-03
"85",2007-05-04
"86",2007-05-07
"87",2007-05-08
"88",2007-05-09
"89",2007-05-10
"90",2007-05-11
"91",2007-05-14
"92",2007-05-15
"93",2007-05-16
"94",2007-05-17
"95",2007-05-18
"96",2007-05-21
"97",2007-05-22
"98",2007-05-23
"99",2007-05-24
"100",2007-05-25
"101",2007-05-29
"102",2007-05-30
"103",2007-05-31
"104",2007-06-01
"105",2007-06-04
"106",2007-06-05
"107",2007-06-06
"108",2007-06-07
"109",2007-06-08
"110",2007-06-11
"111",2007-06-12
"112",2007-06-13
"113",2007-06-14
"114",2007-06-15
"115",2007-06-18
"116",2007-06-19
"117",2007-06-20
"118",2007-06-21
"119",2007-06-22
"120",2007-06-25
"121",2007-06-26
"122",2007-06-27
"123",2007-06-28
"124",2007-06-29
"125",2007-07-02
"126",2007-07-03
"127",2007-07-05
"128",2007-07-06
"129",2007-07-09
"130",2007-07-10
"131",2007-07-11
"132",2007-07-12
"133",2007-07-13
"134",2007-07-16
"135",2007-07-17
"136",2007-07-18
"137",2007-07-19
"138",2007-07-20
"139",2007-07-23
"140",2007-07-24
"141",2007-07-25
"142",2007-07-26
"143",2007-07-27
"144",2007-07-30
"145",2007-07-31
"146",2007-08-01
"147",2007-08-02
"148",2007-08-03
"149",2007-08-06
"150",2007-08-07
"151",2007-08-08
"152",2007-08-09
"153",2007-08-10
"154",2007-08-13
"155",2007-08-14
"156",2007-08-15
"157",2007-08-16
"158",2007-08-17
"159",2007-08-20
"160",2007-08-21
"161",2007-08-22
"162",2007-08-23
